项目地址,项目说明,语言
https://github.com/harry0703/MoneyPrinterTurbo,MoneyPrinterTurbo 是一款 AI 全自动短视频生成工具，输入主题即可自动完成脚本撰写、素材搜索、配音合成和视频剪辑，支持中英双语内容和多平台发布。是国内最受欢迎的 AI 视频自动化开源项目之一，GitHub 星标超过 25k。,Python
https://github.com/tinygrad/tinygrad,tinygrad 是 Andrej Karpathy 等人推动的极简深度学习框架，核心代码仅约 1000 行 Python，却能运行各类主流神经网络架构。以教育性和可读性见长，同时支持 GPU 加速，是理解深度学习底层原理的最佳学习材料。,Python
https://github.com/jingyaogong/minimind,MiniMind 是一个从零开始训练小型语言模型（约 26M 参数）的完整实现项目，提供完整的预训练、SFT、RLHF 全流程代码。帮助开发者和研究者以极低计算成本理解 LLM 训练全过程，是 LLM 学习实践领域最受欢迎的中文开源项目之一。,Python
https://github.com/kepano/obsidian-skills,obsidian-skills 是 Obsidian 笔记应用创始人 kepano 分享的 Claude Code Skills 集合，包含面向个人知识管理和产品开发场景的实用技能，适合 Obsidian 用户和产品开发者参考。,无（配置类）
https://github.com/hesreallyhim/awesome-claude-code,Awesome Claude Code 是一个社区维护的 Claude Code 资源精选列表，汇集了高质量的 Skills、Hooks、配置技巧和使用教程，帮助开发者充分挖掘 Claude Code 的使用潜力。,无（文档类）
https://github.com/pascalorg/editor,Pascal Editor 是一个面向 AI 时代的现代化代码编辑器，集成了 AI 辅助编程、实时协作和智能代码补全等功能，旨在为开发者提供更流畅的 AI 协作编程体验。,TypeScript
https://github.com/mvanhorn/last30days-skill,last30days-skill 是一个 Claude Code Skill，用于快速分析和总结过去 30 天的工作记录、提交历史或项目进展，方便开发者生成周期性工作报告。,无（配置类）
https://github.com/BerriAI/litellm,LiteLLM 是一个统一的 LLM API 代理层，支持通过同一套 OpenAI 格式接口调用 100+ 大语言模型（包括 Claude、Gemini、GPT、Mistral 等）。内置负载均衡、费用追踪、缓存和日志功能，是企业级 LLM 基础设施的核心组件，GitHub 星标超过 16k。,Python
https://github.com/usestrix/strix,Strix 是一个 AI 驱动的代码审查和质量分析工具，自动检测代码问题、安全漏洞和性能瓶颈，并提供详细的改进建议，适合集成到 CI/CD 流程中提升代码质量。,TypeScript
https://github.com/letta-ai/claude-subconscious,claude-subconscious 是 Letta AI（MemGPT 团队）推出的 Claude Code 记忆增强 Skill，为 Claude Code 提供持久化的工作记忆能力，让 AI 助手能够跨会话记住项目上下文、偏好设置和历史决策。,Python
https://github.com/Yeachan-Heo/oh-my-claudecode,oh-my-claudecode 是一套 Claude Code 的一键配置和增强方案，类似 oh-my-zsh 对 Zsh 的功能扩展，提供开箱即用的主题、插件和预置 Skills，让 Claude Code 的使用体验更佳。,Shell
https://github.com/Vaibhavs10/insanely-fast-whisper,Insanely Fast Whisper 是基于 OpenAI Whisper 优化的超高速语音识别工具，通过 Flash Attention 2、Batched Inference 等技术手段，将 Whisper 的转录速度提升数十倍。支持一行命令完成本地音视频转文字，非常适合批量音频处理场景。,Python
https://github.com/datalab-to/chandra,Chandra 是 datalab.to 团队推出的文档理解和解析工具，利用多模态 AI 技术实现对复杂文档（PDF、图表、表格等）的高精度结构化解析，为 AI 应用提供高质量的文档数据输入。,Python
https://github.com/onyx-dot-app/onyx,Onyx（前 Danswer）是一款开源的企业级 AI 知识助手，支持连接 Google Drive、Slack、GitHub、Notion 等数十种企业数据源，在私有数据上构建安全的 AI 问答系统。支持本地部署保障数据隐私，是企业知识管理 AI 化转型的优选方案。,Python
https://github.com/manaflow-ai/cmux,cmux 是一个终端会话多路复用和 AI 集成工具，将 tmux 的多会话管理能力与 AI 辅助结合，支持 AI 自动分析终端输出并提供智能建议，提升开发者命令行工作效率。,Go
https://github.com/luongnv89/claude-howto,claude-howto 是一个 Claude Code 使用技巧和 How-to 指南合集，通过具体示例讲解如何有效使用 Claude Code 解决各类编程问题，适合初学者快速上手。,无（文档类）
https://github.com/fastfetch-cli/fastfetch,Fastfetch 是一款快速的系统信息展示工具，类似 neofetch 但性能更优、可配置性更强。用 C 语言编写，支持 Linux、macOS、Windows 等多平台，能以美观的格式在终端展示 CPU、内存、GPU、OS 等系统信息，深受开发者和 Linux 爱好者喜爱。,C
https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp 是全球最大的免费编程教育平台之一，提供从 Web 开发基础到数据科学、机器学习的完整免费课程体系，配套互动式在线练习和项目实战。已帮助数百万人转行成为软件开发者，是最受欢迎的开源教育项目，GitHub 星标超过 415k。,TypeScript / JavaScript
https://github.com/sherlock-project/sherlock,Sherlock 是一款强大的开源 OSINT 用户名溯源工具，能在数百个社交媒体平台上同时搜索指定用户名是否存在对应账号。常用于安全研究、身份调查等场景，是渗透测试和情报收集工作中最常用的开源工具之一。,Python
https://github.com/Dimillian/Skills,Dimillian/Skills 是 iOS 开发者 Dimillian 分享的 Claude Code Skills 集合，包含 iOS 和 macOS 应用开发相关的实用工作流技能，适合 Apple 平台开发者参考。,无（配置类）
https://github.com/neovim/neovim,Neovim 是 Vim 文本编辑器的现代化重构版本，修复了 Vim 的历史遗留问题，内置 LSP 支持、异步任务、内嵌 Lua 脚本引擎和更丰富的插件 API。拥有繁荣的插件生态，是追求高效文本编辑的开发者的首选工具，深受命令行爱好者推崇。,C / Lua
https://github.com/jwasham/coding-interview-university,Coding Interview University 是一套面向软件工程技术面试的系统学习计划，覆盖数据结构、算法、操作系统、网络等计算机科学核心知识。作者通过该计划成功入职亚马逊，已成为程序员刷题和备战 FAANG 面试的最受欢迎开源指南，GitHub 星标超过 310k。,无（文档类）
https://github.com/aaif-goose/goose,aaif-goose/goose 是一个 AI Agent 相关项目，专注于特定领域的智能自动化任务处理能力。,Python
https://github.com/forrestchang/andrej-karpathy-skills,andrej-karpathy-skills 是受 Andrej Karpathy 的技术风格启发整理的 Claude Code Skills 集合，聚焦于深度学习和 AI 工程领域的实用工作流，适合 ML 工程师参考使用。,无（配置类）
https://github.com/goharbor/harbor,Harbor 是 CNCF 毕业的企业级开源容器镜像仓库，提供镜像安全扫描、访问控制、内容信任和镜像复制等企业级特性。是云原生应用部署中容器镜像管理的行业标准解决方案，广泛应用于大型企业的私有容器注册中心建设。,Go
https://github.com/coleam00/Archon,Archon 是一个 AI Agent 自动构建 AI Agent 的元框架，能够根据用户需求自动设计并生成新的 AI Agent 代码。通过 LLM 的代码生成能力实现 Agent 的自我繁殖，是 AI 自动化编程领域的前沿探索项目。,Python
https://github.com/shiyu-coder/Kronos,Kronos 是一个面向时序数据和时间感知任务的 AI 推理框架，通过专门的时间建模机制提升 LLM 在时序预测、事件排序等时间相关任务上的准确性。,Python
https://github.com/multica-ai/multica,Multica 是一个多模态 AI 应用平台，支持文本、图像、音频等多种模态的统一处理和交互，为开发者提供便捷的多模态 AI 能力接入接口。,Python
https://github.com/Lordog/dive-into-llms,Dive into LLMs 是一本面向实践的大语言模型深入学习教程，系统讲解 LLM 的核心技术细节，包括预训练、微调、对齐等关键技术，配套完整的代码实现和中文解读。,Python
https://github.com/lsdefine/GenericAgent,GenericAgent 是一个通用 AI Agent 框架，提供灵活的工具调用、记忆管理和多步推理能力，支持快速构建面向特定领域的定制化 AI 助手。,Python
https://github.com/google/magika,Magika 是 Google 开源的 AI 驱动文件类型检测工具，使用深度学习模型识别文件的真实类型，精度显著优于传统的基于魔数（magic bytes）的检测方法。支持 200+ 文件类型，已在 Google 内部大规模应用，是文件安全扫描和数据处理管道的实用工具。,Python
https://github.com/Donchitos/Claude-Code-Game-Studios,Claude-Code-Game-Studios 是一个使用 Claude Code 辅助游戏开发的实践项目集，展示如何利用 AI 编程助手加速游戏开发流程，包括游戏逻辑生成、关卡设计辅助等场景。,Python
https://github.com/addyosmani/agent-skills,Chrome 技术倡导者 Addy Osmani 分享的 Claude Code Agent Skills 集合，包含前端开发、Web 性能优化等领域的实用工作流技能，代表了 Web 工程领域的 Claude Code 最佳实践。,无（配置类）
https://github.com/z-lab/dflash,dflash 是一个高性能数据闪写工具，支持快速的数据传输和存储操作，适用于需要极致速度的数据处理场景。,Python
https://github.com/openai/openai-agents-python,openai-agents-python 是 OpenAI 官方发布的 Python Agent SDK，提供构建 AI Agent 应用的官方标准接口，支持工具调用、多 Agent 编排、状态管理和流式输出。是基于 OpenAI 模型开发 Agent 应用的官方推荐框架。,Python
https://github.com/EvoMap/evolver,Evolver 是一个基于进化算法的 AI 优化框架，通过遗传算法、进化策略等技术自动优化模型参数和系统配置，适用于超参数搜索和自动化机器学习场景。,Python
https://github.com/BasedHardware/omi,Omi 是 Based Hardware 推出的 AI 可穿戴设备和配套开源软件平台，能够实时录制并分析佩戴者的对话内容，生成记忆摘要和行动建议。是个人 AI 记忆增强和量化自我领域的前沿硬件+软件开源项目。,Python / Dart
https://github.com/openai/parameter-golf,Parameter Golf 是 OpenAI 发布的模型参数效率挑战性研究项目，探索如何用最少的参数实现最佳的任务性能，推动高效小模型的研究边界。,Python
https://github.com/SimoneAvogadro/android-reverse-engineering-skill,android-reverse-engineering-skill 是一个专注于 Android 逆向工程的 Claude Code Skill，提供 APK 分析、反编译、混淆还原等 Android 安全研究工作流，帮助安全研究人员高效进行移动端安全分析。,无（配置类）
https://github.com/lukilabs/craft-agents-oss,craft-agents-oss 是 Luki Labs 开源的 AI Agent 构建框架，提供结构化的 Agent 设计模式和组件库，支持快速搭建生产级 AI Agent 服务。,Python
https://github.com/Tracer-Cloud/opensre,OpenSRE 是一个 AI 驱动的站点可靠性工程（SRE）自动化平台，通过 LLM 辅助实现告警分析、故障根因定位和自动化运维响应，是 AIOps 领域的优秀开源项目。,Python
https://github.com/thunderbird/thunderbolt,Thunderbolt 是 Mozilla Thunderbird 邮件客户端的新一代项目，旨在以现代技术栈重构 Thunderbird，提供更快速、更现代化的桌面邮件客户端体验。,TypeScript
https://github.com/aaddrick/claude-desktop-debian,claude-desktop-debian 提供了在 Debian/Ubuntu Linux 系统上安装和运行 Claude Desktop 应用的完整指南和安装脚本，弥补了 Anthropic 官方 Claude Desktop 不提供 Linux 版本的空白。,Shell
https://github.com/rustdesk/rustdesk,RustDesk 是一款基于 Rust 开发的开源远程桌面软件，是 TeamViewer 的优秀开源替代方案。支持自托管中继服务器保障数据隐私，跨平台兼容 Windows、macOS、Linux、Android 和 iOS，提供低延迟、高画质的远程桌面连接体验，GitHub 星标超过 83k。,Rust
https://github.com/tractorjuice/arc-kit,arc-kit 是一个基于 Wardley Mapping 战略框架的 AI 辅助工具包，帮助战略分析师和咨询顾问使用 AI 加速绘制和分析 Wardley Maps，用于技术战略规划和市场竞争分析。,Python
https://github.com/multica-ai/andrej-karpathy-skills,multica-ai/andrej-karpathy-skills 是受 Andrej Karpathy 工程风格启发的 AI 技能集合，专注于深度学习和 LLM 工程实践场景的 Claude Code 工作流技能。,无（配置类）
https://github.com/Fincept-Corporation/FinceptTerminal,FinceptTerminal 是一款终端金融数据分析工具，提供股票行情、财务数据、技术分析等功能的命令行界面，让量化投资者和数据分析师在终端环境中高效进行金融数据探索。,Python
https://github.com/paperless-ngx/paperless-ngx,Paperless-ngx 是一款强大的开源文档管理系统，支持通过 AI OCR 自动识别和归档纸质文件、PDF 等文档，提供全文搜索、标签分类和自动化归档规则。是构建个人或企业无纸化办公环境的最佳开源解决方案。,Python
https://github.com/pi-hole/pi-hole,Pi-hole 是专为 Raspberry Pi（及其他 Linux 设备）设计的网络级广告屏蔽工具，通过 DNS 黑洞技术拦截整个局域网的广告和追踪请求。无需在每台设备安装插件，可保护家中所有设备（包括智能电视、手机等），是家庭网络隐私保护的经典开源项目。,Shell / Python
https://github.com/XTLS/Xray-core,Xray-core 是 V2Ray 的增强分支，是目前最主流的代理协议核心框架，支持 VLESS、VMess、Trojan、XTLS 等多种传输协议，性能更优、功能更丰富。广泛用于网络代理服务器搭建，是科学上网工具生态的核心基础设施。,Go
https://github.com/warproxxx/poly_data,poly_data 是一个 Polymarket 预测市场数据收集和分析工具，帮助研究者和交易者获取、整理和分析 Polymarket 上的历史交易数据和市场信息，适合预测市场策略研究。,Python
https://github.com/zilliztech/claude-context,claude-context 是 Zilliz（Milvus 母公司）推出的 Claude Code Context 管理工具，帮助开发者在 Claude Code 使用过程中高效管理向量数据库相关的上下文信息，提升 AI 辅助开发中的上下文利用效率。,Python
https://github.com/microsoft/ai-agents-for-beginners,AI Agents for Beginners 是微软官方推出的 AI Agent 入门课程，通过 18 个精心设计的课时系统讲解 AI Agent 的核心概念、设计模式和实践方法。配套完整的代码示例和多语言翻译，是最受推荐的 AI Agent 学习入门教程之一。,Python
https://github.com/HKUDS/RAG-Anything,RAG-Anything 是香港大学数据科学团队推出的多模态 RAG 框架，支持对文本、图像、表格、代码等任意模态内容进行统一的检索增强生成处理，是最全面的多模态 RAG 开源实现之一。,Python
https://github.com/VoltAgent/awesome-agent-skills,Awesome Agent Skills 是 VoltAgent 整理的 AI Agent Skills 精选集合，覆盖多种应用场景和工具集成，帮助开发者快速找到合适的 Agent 技能模板。,无（文档类）
https://github.com/langfuse/langfuse,Langfuse 是一款开源的 LLM 应用可观测性和评估平台，提供完整的 Trace 追踪、成本分析、提示词管理和数据集评估功能。支持本地部署，与 LangChain、LlamaIndex 等主流框架无缝集成，是 LLM 应用监控和持续优化的核心工具。,TypeScript
https://github.com/open-metadata/OpenMetadata,OpenMetadata 是一款开源的统一数据资产管理和数据目录平台，提供数据发现、数据血缘、数据质量监控和协作功能。支持连接 100+ 数据源，帮助企业建立统一的数据资产视图，是数据治理和数据网格架构的重要基础设施。,Java / TypeScript
https://github.com/AIDC-AI/Pixelle-Video,Pixelle-Video 是 AIDC-AI 发布的 AI 视频生成模型，支持高质量文本到视频和图像到视频的生成，在视频生成领域提供开源可复现的研究基础。,Python
https://github.com/Z4nzu/hackingtool,HackingTool 是一款整合了数十种渗透测试和安全研究工具的 All-in-One 工具箱，通过简洁的命令行菜单快速调用各类安全工具。适合安全研究人员和渗透测试工程师用于合法的安全测试工作。,Python
https://github.com/vercel-labs/skills,Vercel Labs Skills 是 Vercel 官方实验室发布的 Claude Code Skills 集合，面向 Next.js 和 Vercel 平台的开发场景，提供部署、优化等相关工作流技能。,无（配置类）
https://github.com/huggingface/ml-intern,ml-intern 是 Hugging Face 发布的面向 ML 实习生的入门项目和训练材料，涵盖机器学习工程基础和 Hugging Face 工具链的使用，适合初入 ML 工程领域的开发者学习。,Python
https://github.com/Anil-matcha/Open-Generative-AI,Open Generative AI 是一个收录和展示开源生成式 AI 项目的导航仓库，覆盖文本生成、图像生成、视频生成等各类开源 AIGC 工具和模型资源，帮助开发者快速找到合适的开源生成 AI 工具。,无（文档类）
https://github.com/Alishahryar1/free-claude-code,free-claude-code 提供了在有限预算下使用 Claude Code 的技巧和替代方案，汇总了可用于驱动 Claude Code 的免费或低成本 API 资源和配置方法。,无（文档类）
https://github.com/mksglu/context-mode,context-mode 是一个 AI 上下文管理工具，帮助开发者在使用 LLM 进行开发时更高效地组织和切换不同的上下文模式，优化 AI 辅助编程的工作效率。,TypeScript
https://github.com/coreyhaines31/marketingskills,marketingskills 是一个面向营销专业人员的 Claude Code Skills 集合，提供市场调研、文案生成、营销策略分析等营销工作流自动化技能。,无（配置类）
https://github.com/chiphuyen/aie-book,aie-book 是 Chip Huyen（《Designing Machine Learning Systems》作者）的《AI Engineering》书籍配套开源资源仓库，提供书中所有代码示例和练习，是 AI 工程领域最权威的学习参考资料之一。,Python
https://github.com/hugohe3/ppt-master,PPT Master 是一款 AI 驱动的 PPT 自动生成工具，通过输入主题和内容要点即可自动生成精美的演示文稿，支持多种风格模板和自定义布局，大幅降低 PPT 制作成本。,Python
https://github.com/rtk-ai/rtk,RTK 是一个实时 AI 推理工具包，专注于在延迟敏感场景下实现高效的 LLM 推理和 AI 决策，适用于需要毫秒级响应的 AI 应用场景。,Python
https://github.com/CJackHwang/ds2api,ds2api 是一个将 DeepSeek 模型接口转换为标准 OpenAI API 格式的代理工具，让使用 OpenAI SDK 的应用无需修改代码即可切换到 DeepSeek 模型，降低模型迁移成本。,Python
https://github.com/ComposioHQ/awesome-codex-skills,Awesome Codex Skills 是 ComposioHQ 整理的 OpenAI Codex/Codex CLI Skills 精选合集，收录了面向各种开发场景的高质量代码技能模板，适合 OpenAI 开发工具的重度用户参考。,无（文档类）
https://github.com/trycua/cua,CUA（Computer Use Agent）是一个让 AI Agent 能够像人一样操作计算机 GUI 的框架，通过屏幕截图、鼠标控制和键盘输入实现全自动化的计算机操控，适用于 RPA 自动化和 AI 辅助办公场景。,Python
https://github.com/donnemartin/system-design-primer,System Design Primer 是 GitHub 上最受欢迎的系统设计学习资源，以图文结合的方式系统讲解大型分布式系统的设计原则和经典架构。内容涵盖 CAP 定理、数据库分片、缓存、消息队列、微服务等核心主题，GitHub 星标超过 290k，是系统设计面试备考的必读材料。,Python
https://github.com/GyulyVGC/sniffnet,Sniffnet 是一款现代化的开源网络流量监控工具，提供直观的图形界面实时展示网络连接、流量统计和协议分析。基于 Rust 开发，性能高效，支持 Windows、macOS 和 Linux，是替代 Wireshark 进行日常网络监控的轻量级选择。,Rust
https://github.com/EbookFoundation/free-programming-books,Free Programming Books 是 GitHub 星标最多的项目之一（超过 350k 星），收录了各编程语言和技术方向的免费电子书、课程、播客等学习资源。支持多种语言版本，是全球程序员自学编程的权威免费资源导航。,无（文档类）
https://github.com/warpdotdev/warp,Warp 是一款革命性的现代化终端工具，内置 AI 命令助手、智能补全、块状输入区域和团队协作功能，将传统终端的使用体验提升到全新高度。支持 macOS 和 Linux，是最受开发者喜爱的新一代终端工具之一。,Rust
https://github.com/1jehuang/jcode,jcode 是一个轻量级的 AI 辅助编程工具，专注于提供简洁高效的代码生成和补全功能，适合喜欢极简工具的开发者日常使用。,Python
https://github.com/ZhuLinsen/daily_stock_analysis,daily_stock_analysis 是一个每日自动运行的 A 股行情分析工具，通过数据抓取和技术指标计算，生成每日股票市场的量化分析报告，帮助个人投资者快速掌握市场动态。,Python
https://github.com/soxoj/maigret,Maigret 是一款强大的 OSINT 用户名情报收集工具，能在 3000+ 个网站上同时搜索目标用户名，并生成详细的 HTML/PDF 调查报告，支持关联账号发现。是比 Sherlock 更全面的开源身份信息溯源工具。,Python
https://github.com/gorhill/uBlock,uBlock Origin 是一款高效的开源广告和内容屏蔽浏览器扩展，以极低的内存和 CPU 占用实现强大的过滤能力。支持自定义过滤规则，可屏蔽广告、追踪器、弹窗和恶意网站，是 Chrome 和 Firefox 上最受信任的广告屏蔽工具。,JavaScript
https://github.com/ghostty-org/ghostty,Ghostty 是 HashiCorp 创始人 Mitchell Hashimoto 开发的高性能开源终端模拟器，以 Zig 语言构建，追求极致的渲染性能和原生平台体验。支持 macOS 和 Linux，提供 GPU 加速渲染、多标签页、自定义主题等完整功能，是新一代高性能终端的代表作。,Zig
https://github.com/ForrestKnight/open-source-cs,Open Source CS 是一套精选的免费在线资源构成的计算机科学自学课程体系，等价于顶尖大学 CS 本科教育质量。覆盖数据结构、算法、操作系统、计算机网络等核心课程，每门课程均对应免费优质学习资源，适合自学编程的求职者参考。,无（文档类）
https://github.com/browserbase/skills,Browserbase Skills 是 Browserbase 发布的 Claude Code Skills 集合，提供浏览器自动化、网页抓取等相关工作流技能，与 Browserbase 云浏览器服务深度集成。,无（配置类）
https://github.com/Arindam200/awesome-ai-apps,Awesome AI Apps 是一个收录各类 AI 应用开源项目的精选列表，涵盖 AI 聊天机器人、代码助手、图像生成、语音助手等多个 AI 应用方向，是开发者寻找 AI 应用灵感和参考实现的优质资源库。,无（文档类）
https://github.com/LearningCircuit/local-deep-research,Local Deep Research 是一款本地运行的 AI 深度研究工具，通过自动化搜索、阅读和综合多个信息源，生成类似 Perplexity Deep Research 功能的详细研究报告，无需订阅付费服务即可实现 AI 辅助深度研究。,Python
https://github.com/PriorLabs/TabPFN,TabPFN 是一个用于表格数据分类和回归的先验拟合网络模型，通过在合成数据集上进行元学习，实现对小型表格数据集的快速零样本预测，性能媲美甚至超越传统集成方法如 XGBoost，是表格机器学习领域的前沿创新。,Python
https://github.com/zed-industries/zed,Zed 是由 Atom 编辑器和 Tree-sitter 原创团队打造的下一代高性能代码编辑器，使用 Rust 和 GPUI 构建。内置 AI 助手、实时协作、多语言 LSP 支持，以极致的启动速度和响应性著称，是 VS Code 最强劲的开源替代方案之一。,Rust
https://github.com/anthropics/financial-services,anthropics/financial-services 是 Anthropic 官方发布的金融服务行业 Claude AI 应用示例和最佳实践集合，展示如何在金融合规框架下安全、有效地部署 Claude 模型，适合金融机构 AI 转型参考。,Python
https://github.com/BigBodyCobain/Shadowbroker,Shadowbroker 是一个网络安全工具集，用于安全研究和渗透测试场景下的网络分析任务。请确保在合法授权范围内使用。,Python
https://github.com/decolua/9router,9router 是一个轻量级路由管理工具，支持灵活的请求路由配置和流量分发策略，适合构建微服务架构或 API 网关场景。,Lua
https://github.com/Augani/openreel-video,openreel-video 是一个开源的视频生成和编辑框架，集成多种 AI 视频模型，支持程序化视频内容创作和自动化视频处理流水线。,Python
https://github.com/openai/symphony,Symphony 是 OpenAI 发布的 AI 工作流编排框架，支持将多个 AI 模型和工具组合成复杂的自动化工作流，是 OpenAI 在 Agent 编排领域的官方开源贡献。,Python
https://github.com/awslabs/aidlc-workflows,aidlc-workflows 是 AWS Labs 发布的 AI 驱动的数据生命周期管理工作流集合，提供在 AWS 云平台上自动化数据摄入、转换和治理的参考架构和代码实现。,Python
https://github.com/HKUDS/AI-Trader,AI-Trader 是香港大学数据科学团队推出的 AI 自主交易 Agent 框架，通过多智能体协作实现市场分析、策略制定和交易执行的全流程自动化，是 AI 量化交易研究的前沿开源项目。,Python
https://github.com/rohitg00/agentmemory,AgentMemory 是一个专为 AI Agent 设计的记忆管理库，提供短期、长期和情节记忆的统一存储和检索接口，解决 LLM 上下文窗口限制导致的记忆管理难题。,Python
https://github.com/datawhalechina/easy-vibe,easy-vibe 是 Datawhale 社区推出的 Vibe Coding（氛围编程）入门教程，通过简洁的实践案例帮助初学者掌握 AI 辅助编程的核心理念和工作方法，降低 AI 辅助开发的入门门槛。,Python
https://github.com/masterking32/MasterDnsVPN,MasterDnsVPN 是一个基于 DNS 的 VPN 和网络流量管理工具，通过智能 DNS 解析实现网络分流和访问控制，适合需要灵活管理网络访问策略的用户。,Python
https://github.com/oracle-devrel/oracle-ai-developer-hub,Oracle AI Developer Hub 是 Oracle 官方发布的 AI 开发资源中心，提供在 Oracle 云平台上构建 AI 应用的完整示例代码、教程和最佳实践，覆盖 LLM 接入、RAG 构建和 AI Agent 开发等场景。,Python
https://github.com/jundot/omlx,omlx 是一个机器学习实验管理和追踪工具，支持模型训练过程中的超参数记录、指标可视化和实验对比，帮助 ML 工程师高效管理和复现实验结果。,Python
https://github.com/THU-MAIC/OpenMAIC,OpenMAIC 是清华大学 MAIC 团队发布的开源多智能体交互与协作框架，支持构建具备复杂社会交互能力的 AI Agent 系统，是多 Agent 协作和涌现行为研究的开放研究平台。,Python
https://github.com/yikart/AiToEarn,AiToEarn 是一个 AI 驱动的内容变现工具集，帮助创作者利用 AI 自动生成各类平台内容（短视频、图文、小说等）并实现流量变现，覆盖抖音、小红书、微信公众号等主流平台。,Python
https://github.com/tinyhumansai/openhuman,OpenHuman 是 Tiny Humans AI 推出的开源数字人生成框架，支持创建可交互的 AI 数字人形象，集成语音合成、唇形同步和表情驱动技术，适合虚拟主播和数字人应用开发。,Python
https://github.com/rasbt/LLMs-from-scratch,LLMs from Scratch 是 Sebastian Raschka（《Machine Learning with PyTorch and Scikit-Learn》作者）的 《Build a Large Language Model (From Scratch)》一书配套代码，带领读者从零实现一个完整的 GPT 风格大语言模型。是目前最受欢迎的 LLM 从零实现教程，GitHub 星标超过 45k，适合深度学习从业者深入理解 LLM 原理。,Python
